longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-117.09,32.68,29,1792,449,1650,396,2.2201,100000
-117.09,32.68,20,2569,737,2341,705,2.0114,104900
-117.09,32.67,37,1157,332,983,306,2.0972,117000
-117.09,32.67,31,2051,549,1581,538,2.052,108900
-117.09,32.66,46,844,147,423,161,3.375,136300
-117.09,32.66,38,833,206,570,182,1.8333,127100
-117.09,32.65,25,3509,985,2359,899,2.6296,150000
-117.09,32.65,20,1445,323,573,334,2.619,145800
-117.09,32.64,38,2095,536,1240,550,2.7218,145900
-117.09,32.64,30,3171,862,2126,800,2.507,142700
-117.09,32.64,24,3613,973,2002,931,1.947,147500
-117.09,32.64,20,1999,651,1302,592,1.6321,57500
-117.09,32.63,33,620,161,420,164,1.8417,150000
-117.09,32.63,27,2920,770,1935,746,2.4148,67500
-117.09,32.62,37,1925,428,1344,426,2.4866,129700
-117.09,32.62,34,1576,364,1153,381,2.1955,129700
-117.09,32.61,23,1157,309,640,313,2.1548,118800
-117.09,32.61,21,1945,430,1335,419,3.6467,113000
-117.09,32.58,12,2565,567,1785,545,3.0273,135300
-117.09,32.57,23,1817,323,1371,327,3.6736,139500
-117.09,32.57,17,444,83,357,87,5.1478,138900
-117.09,32.57,10,2198,368,1645,350,4.5547,160700
-117.09,32.55,8,6533,1217,4797,1177,3.9583,144400
-117.1,34.57,6,5110,1044,1938,724,3.1917,112800
-117.1,34.21,22,4397,931,1145,445,4.5268,108400
-117.1,34.03,24,4144,826,2127,772,2.5172,96000
